"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000177234",14.7747540583806,3.83251752194989,0.342243507307107,1.21133575467476e-30,2.61211349203549e-29
"ENSG00000177338",4.50250877915898,-1.60635773815666,0.31645250807019,1.75738923024957e-07,5.23262681764524e-07
"ENSG00000177725",4.415610038321,-2.5241126704211,0.434422964960432,2.82827390436707e-09,1.03661208405428e-08
"ENSG00000177788",490.575401271038,1.23051977719128,0.137855525676177,1.53362650058566e-19,1.47598684687238e-18
"ENSG00000178107",0.660138931837658,2.9953398872276,0.834235272861104,0.000213021082534622,0.000429184731091884
"ENSG00000178722",5.37894954349692,-1.95201463096659,0.252810748859301,4.95533592369717e-15,3.23733563306685e-14
"ENSG00000179066",129.745733772455,6.36543388059129,0.337525134106657,2.56725276196891e-83,9.20360115165855e-81
"ENSG00000179136",3.09716183639338,-2.38303233442329,0.390964528176562,4.43348251080829e-10,1.75989312678175e-09
"ENSG00000179935",14.9567185766118,1.46790818632055,0.204182982274762,2.02065364957486e-13,1.13298820468831e-12
"ENSG00000180066",79.6866602927503,2.99308041032997,0.238628912374431,1.53375358109841e-37,4.99864235294344e-36
"ENSG00000180279",12.1974379720603,1.47360729273974,0.178676540037198,4.07457170177257e-17,3.22368872846448e-16
"ENSG00000180769",131.726452058972,-1.38550461596698,0.138058478976611,5.79716850123987e-24,7.93617148522956e-23
"ENSG00000180861",169.262775785173,5.78982564220194,0.415477488226056,1.82269988067819e-54,1.3234185462747e-52
"ENSG00000180869",1.38427059222052,2.00975593247629,0.456011509027444,1.23919111574231e-05,2.95060200909004e-05
"ENSG00000182057",506.944277561919,2.41065109836532,0.143792595720893,3.03513780857277e-64,4.14513106427938e-62
"ENSG00000182366",23.6139750457106,1.04392296010817,0.240684745051508,6.40402303093178e-06,1.57654403885943e-05
"ENSG00000183674",7.18416490705597,5.45253655878305,0.668183084659425,2.02883841649203e-20,2.11974811602884e-19
"ENSG00000184224",4.42272024527868,1.1238365717163,0.209860815519162,1.81687337499135e-06,4.78933165392941e-06
"ENSG00000184274",2.9773214328301,-1.36148544947166,0.195611542520653,1.71203393450906e-12,8.66745511769104e-12
"ENSG00000184385",22.3445448378307,-2.26919268178694,0.371807220190286,4.51384679031644e-10,1.79055499234129e-09
"ENSG00000184856",1.70944422699666,8.18395688174211,2.72673317442573,1.67858708312181e-06,4.44318205297032e-06
"ENSG00000185847",2.54855659687367,3.58153573666842,0.596082104638995,1.59102078039458e-10,6.6179080466594e-10
"ENSG00000185904",519.639967042236,1.23186102906005,0.229497345801409,2.67782128386653e-08,8.71735691501613e-08
